command	true label	ontology label	ontology label score	ontology unmapped label	ontology raw label	ontology raw label score	ontology raw unmapped label	recognized label	additional labels	ontology raw command	ontology command
в комнате душно проветри	WindowRelay	AirConditioning	0	AirConditioning	AudioSystem	0	AudioSystem	CurtainRelay	on		
если станет холодно то закрой окно	WindowRelay	AirConditioning	0	AirConditioning	AudioSystem	0	AudioSystem	AudioSystem	on		
в комнате душно проветри	WindowRelay	AirConditioning	0	AirConditioning	AudioSystem	0	AudioSystem	CurtainRelay	on		
если будет холодно закрой окно	WindowRelay	AirConditioning	0	AirConditioning	AudioSystem	0	AudioSystem	HumiditySensor	on		
если станет холодно то открой окно	WindowRelay	AirConditioning	0	AirConditioning	AudioSystem	0	AudioSystem	HumiditySensor	on		
если будет холодно закрой окно	WindowRelay	AirConditioning	0	AirConditioning	AudioSystem	0	AudioSystem	HumiditySensor	on		
проветривай помещение каждые число минут в течение число минут избегая сквозняков	WindowRelay	AirConditioning	0	AirConditioning	AudioSystem	0	AudioSystem	AudioSystem	on		
если будет холодно то закрой окно	WindowRelay	AirConditioning	0	AirConditioning	AudioSystem	0	AudioSystem	HumiditySensor	on		
проветривай во время моего сна	WindowRelay	AirConditioning	0	AirConditioning	AudioSystem	0	AudioSystem	HumiditySensor	on		
проветри зал и кухню	WindowRelay	AirConditioning	0	AirConditioning	AudioSystem	0	AudioSystem	CurtainRelay	on		
если будет жарко то закрой окно	WindowRelay	AirConditioning	0	AirConditioning	AudioSystem	0	AudioSystem	AudioSystem	on		
проветрить здесь пока я буду на кухне	WindowRelay	AirConditioning	0	AirConditioning	AudioSystem	0	AudioSystem	HumiditySensor	on		
помой окна после дождя	WindowRelay	AirConditioning	0	AirConditioning	WindowRelay*	1	WindowRelay	SmartElectricityMeter	on	дождь	
проветри там	WindowRelay	AirConditioning	0	AirConditioning	AudioSystem	0	AudioSystem	HumiditySensor	on		
проветри сейчас	WindowRelay	AirConditioning	0	AirConditioning	AudioSystem	0	AudioSystem	HumiditySensor	on		
проветрите сейчас пока я буду на кухне	WindowRelay	AirConditioning	0	AirConditioning	AudioSystem	0	AudioSystem	HumiditySensor	on		
закрыть окно если начался дождь	WindowRelay	AirConditioning	0	AirConditioning	WindowRelay*	1	WindowRelay	AudioSystem	on	дождь	
проветри здесь пока я буду в ванной	WindowRelay	AirConditioning	0	AirConditioning	AudioSystem	0	AudioSystem	HumiditySensor	on		
если на улице жарко открой окно	WindowRelay	AirConditioning	0	AirConditioning	AudioSystem	0	AudioSystem	AudioSystem	on		
ежели будет жарко закрой окно	WindowRelay	AirConditioning	0	AirConditioning	AudioSystem	0	AudioSystem	SmartElectricityMeter	on		
проветрите здесь пока я буду в комнате	WindowRelay	AirConditioning	0	AirConditioning	AudioSystem	0	AudioSystem	HumiditySensor	on		
проветрить комнату если содержание углекислого газа будет выше число	WindowRelay	AirConditioning	0	AirConditioning	AudioSystem	0	AudioSystem	AudioSystem	on		
проветривай каждые число часа	WindowRelay	AirConditioning	0	AirConditioning	AlarmClock	1	AlarmClock	SmartElectricityMeter	on	час	
открой окно на кухне на 30 градусов	WindowRelay	AirConditioning	1	AirConditioning	AirConditioning	1	AirConditioning	HumiditySensor	on	градус	градус
выключи свет в ванной	Lamp	AirConditioning	0	AirConditioning	Lamp*	1	chandelier1	HumiditySensor	on	свет	
включай свет когда я захожу в спальню	Lamp	AirConditioning	1	AirConditioning	Lamp*	2	chandelier1	HumiditySensor	on	свет включать	включать
выключай свет если я выхожу из спальни	Lamp	AirConditioning	1	AirConditioning	Lamp*	2	chandelier1	HumiditySensor	off	свет выключать	выключать
выключи свет	Lamp	AirConditioning	0	AirConditioning	Lamp*	1	chandelier1	HumiditySensor	on	свет	
приглуши свет или включи расслабляющую музыку	Lamp	AirConditioning	0	AirConditioning	Lamp*	1	chandelier1	AudioSystem	on	свет	
включи электричество в спальне	Lamp	AirConditioning	0	AirConditioning	AudioSystem	0	AudioSystem	HumiditySensor	on		
гаси свет в спальне если никого нет	Lamp	AirConditioning	0	AirConditioning	Lamp*	1	chandelier1	AudioSystem	on	свет	
включай свет когда я захожу в гостиную	Lamp	AirConditioning	1	AirConditioning	Lamp*	2	chandelier1	HumiditySensor	on	свет включать	включать
меняй каждый день фонарик на время	Lamp	AirConditioning	0	AirConditioning	AudioSystem	0	AudioSystem	AudioSystem	on		
ослабь свет и включи успокаивающую музыку	Lamp	AirConditioning	0	AirConditioning	Lamp*	1	chandelier1	AudioSystem	on	свет	
выключай свет каждый раз когда я ухожу из гостиной	Lamp	AirConditioning	1	AirConditioning	Lamp*	2	chandelier1	HumiditySensor	off	свет выключать	выключать
выключай свет когда меня нет в комнате	Lamp	AirConditioning	1	AirConditioning	Lamp*	2	chandelier1	HumiditySensor	off	свет выключать	выключать
выключай свет когда я иду из санузла	Lamp	AirConditioning	1	AirConditioning	Lamp*	2	chandelier1	HumiditySensor	off	свет выключать	выключать
включай солнце когда я захожу в комнату	Lamp	AirConditioning	1	AirConditioning	AirConditioning	1	AirConditioning	HumiditySensor	on	включать	включать
включай свет когда я прихожу домой	Lamp	AirConditioning	1	AirConditioning	Lamp*	2	chandelier1	HumiditySensor	on	свет включать	включать
каждый вечер в время включай музыку на плеере	AudioSystem	AirConditioning	1	AirConditioning	AirConditioning	1	AirConditioning	AudioSystem*	on	включать	включать
найди клип к этой песне на youtube и воспроизведи его на телефоне	AudioSystem	AirConditioning	0	AirConditioning	AudioSystem*	0	AudioSystem	AudioSystem*	on		
подбирай песни под ритм бега	AudioSystem	AirConditioning	0	AirConditioning	AudioSystem*	0	AudioSystem	SmartElectricityMeter	on		
выключи динамики на кухне и в спальне	AudioSystem	AirConditioning	0	AirConditioning	AudioSystem*	0	AudioSystem	CurtainRelay	on		
добавь песню в мою коллекцию	AudioSystem	AirConditioning	0	AirConditioning	AudioSystem*	0	AudioSystem	AudioSystem*	on		
включи аудиосистему если я приду домой	AudioSystem	AudioSystem*	1	AudioSystem	AudioSystem*	1	AudioSystem	HumiditySensor	on	аудиосистема	аудиосистема
включи аудиосистему когда я приду домой	AudioSystem	AudioSystem*	1	AudioSystem	AudioSystem*	1	AudioSystem	HumiditySensor	on	аудиосистема	аудиосистема
прочитай передачи тогда я засну	AudioSystem	AirConditioning	0	AirConditioning	AudioSystem*	0	AudioSystem	HumiditySensor	on		
пропусти песню	AudioSystem	AirConditioning	0	AirConditioning	AudioSystem*	0	AudioSystem	SmartVacuumCleaner	on		
сделай громче	AudioSystem	AirConditioning	0	AirConditioning	AudioSystem*	0	AudioSystem	HumiditySensor	on		
увеличь громкость на 4 пункта	AudioSystem	AirConditioning	0	AirConditioning	AudioSystem*	0	AudioSystem	CurtainRelay	on		
отключу музыку когда я усну	AudioSystem	AirConditioning	0	AirConditioning	AudioSystem*	0	AudioSystem	AudioSystem*	on		
проигрывай в случайном порядке	AudioSystem	AirConditioning	0	AirConditioning	AudioSystem*	0	AudioSystem	CurtainRelay	on		
добавить песню в мою коллекцию	AudioSystem	AirConditioning	0	AirConditioning	AudioSystem*	0	AudioSystem	AudioSystem*	on		
увеличь звук на три пункта	AudioSystem	AirConditioning	0	AirConditioning	AudioSystem*	0	AudioSystem	HumiditySensor	on		
отключи песню если я лягу	AudioSystem	AirConditioning	0	AirConditioning	AudioSystem*	0	AudioSystem	HumiditySensor	on		
включай аудиосистему если я возвращаюсь домой	AudioSystem	AudioSystem*	2	AudioSystem	AudioSystem*	2	AudioSystem	HumiditySensor	on	аудиосистема включать	аудиосистема включать
